estabilidade,tempo,roll_max,roll_min,roll_oscilation,pitch_max,pitch_min,pitch_oscilation
False,50.961710929870605,8.097274658396893,-7.354716445270355,15.451991103667249,6.025953282010879,-8.135931655172872,14.161884937183752
False,51.89445972442627,5.778655672173037,-5.004546657379536,10.783202329552571,4.397139473679808,-6.966426571583268,11.363566045263074
False,46.90519666671753,5.965086785407887,-2.688282856548749,8.653369641956635,4.047137861200713,-6.30603102073265,10.353168881933364
False,50.791203022003174,7.816277427680574,-7.422408805659201,15.238686233339772,5.277643152245265,-9.030908256942974,14.308551409188238
False,48.68455767631531,5.992337118587353,-4.222725885253673,10.215063003841024,3.493645413727166,-5.6056972421043545,9.09934265583152
False,50.33141088485718,5.418265436445074,-4.6305949517819975,10.04886038822707,3.9769584203196713,-6.174282652234588,10.15124107255426
False,51.7537305355072,7.269425883741761,-5.460079458618706,12.729505342360467,2.6307131175866534,-6.826911455293116,9.45762457287977
False,53.839640855789185,8.811824195783334,-4.515412109526619,13.327236305309953,4.800018797760488,-6.0661543661112205,10.866173163871707
False,52.102778673172,9.359747832181066,-6.4109415622889445,15.770689394470013,4.200317755924781,-8.502306767904635,12.702624523829417
False,54.12212777137756,7.298022105250579,-6.446890356740204,13.744912461990783,5.300822607961498,-7.772260088512322,13.073082696473822
False,54.737730503082275,7.0627623204724035,-4.92807516380794,11.990837484280343,4.230778610726689,-6.27627320093951,10.5070518116662
