estabilidade,tempo,roll_max,roll_min,roll_oscilation,pitch_max,pitch_min,pitch_oscilation
True,32.29931926727295,8.65732675293689,-5.566011251298767,14.223338004235657,6.559530215065359,-4.919870751655033,11.479400966720393
True,34.95139932632446,11.784977863907145,-2.831203666271148,14.616181530178292,6.96295219254524,-7.6703527783823615,14.633304970927602
True,33.32156801223755,9.038308800573256,-3.33862126508807,12.376930065661327,6.39117626490475,-6.018635103763806,12.40981136866856
True,31.83461046218872,14.066367487898404,-4.730159632188756,18.79652712008716,8.326333558996394,-6.490964927679047,14.817298486675444
True,33.97704553604126,11.696872571506438,-5.692858557248843,17.389731128755276,6.106637636971711,-5.870376563599734,11.977014200571444
True,32.27496552467346,13.100098826978378,-3.380293893844179,16.480392720822557,6.2025306237802145,-6.5215545940613975,12.724085217841612
True,31.97252917289734,10.325838264640922,-6.0027267688566885,16.32856503349761,5.005591226137519,-6.032045716674663,11.037636942812181
True,33.79102301597595,14.827959553096456,-5.516476745562283,20.34443629865874,6.256577089281998,-5.357396356584463,11.61397344586646
True,31.92910075187683,16.49708825140614,-3.774952801921972,20.272041053328113,7.245049837976402,-6.701402823941829,13.946452661918233
True,31.590379238128662,14.360975150863432,-3.233122700743435,17.594097851606865,7.765605462755858,-6.537061916931661,14.30266737968752
