estabilidade,tempo,roll_max,roll_min,roll_oscilation,pitch_max,pitch_min,pitch_oscilation
False,56.887357234954834,11.946827247666512,-6.6339064655438,18.58073371321031,4.822638471137028,-10.601615364496936,15.424253835633962
False,50.73029327392578,7.76357479666649,-6.293675088463885,14.057249885130375,6.9832671735131875,-9.520526839225234,16.50379401273842
False,48.94650197029114,8.256457673838323,-6.190676002516127,14.447133676354449,6.5167492978312636,-9.378001425406971,15.894750723238236
False,49.250235080718994,7.795579855602897,-5.346132529631244,13.14171238523414,8.645512651274993,-8.463806433478723,17.109319084753714
False,47.94311809539795,7.4797612714229835,-5.469840816494592,12.949602087917578,4.9990559906874354,-7.998566655491595,12.99762264617903
False,48.38973569869995,6.663563958958595,-5.703509046382178,12.367073005340771,5.85164815539472,-7.982741447958632,13.834389603353353
False,45.95036864280701,7.051788659137581,-7.457359407210018,14.5091480663476,6.675159577436439,-8.435534465729754,15.110694043166193
False,55.55654525756836,7.976567151222102,-5.394883842666511,13.371450993888612,6.268120453525827,-9.736681653389054,16.004802106914884
False,49.31226468086243,6.512468004963628,-6.199296714006836,12.711764718970466,7.075636252149237,-8.932409345524317,16.00804559767355
False,52.91737747192383,7.323660977493114,-5.5197526476160865,12.843413625109202,4.80454722613933,-8.205333433334102,13.009880659473433
