estabilidade,tempo,roll_max,roll_min,roll_oscilation,pitch_max,pitch_min,pitch_oscilation
False,33.007941007614136,15.337859459112039,-8.656905302540851,23.994764761652892,6.899803481197881,-4.485888895810727,11.385692377008608
False,32.62226176261902,11.536404333115374,-5.133137282836716,16.669541615952088,6.241567242525039,-5.93877591291991,12.18034315544495
False,32.8794367313385,13.608890949261268,-3.3029500185488727,16.91184096781014,6.301452117089681,-4.761626405402118,11.063078522491798
False,33.823458671569824,12.771538777210376,-4.411899730253226,17.183438507463602,5.682945168892563,-5.493092844455,11.176038013347563
False,36.91060495376587,12.081214324571391,-1.8716665514991677,13.952880876070559,4.533076902465424,-7.501914581556838,12.03499148402226
False,31.05312728881836,8.599914335171286,-5.628490596163759,14.228404931335046,4.513168562281497,-5.571572191740571,10.084740754022068
False,33.185324907302856,7.885139575708841,-5.64531199780401,13.53045157351285,3.941836359797788,-4.5360574315318445,8.477893791329633
False,32.27458095550537,11.546870684490564,-5.386097241829135,16.932967926319698,6.384612912073543,-7.151075736276146,13.53568864834969
False,34.13896155357361,14.904780483200856,-4.405927506530752,19.310707989731608,6.95117094381073,-6.0916568622618055,13.042827806072534
False,33.91854524612427,12.205305752459095,-4.478337409454442,16.683643161913537,5.58469297126409,-6.002603312219801,11.58729628348389
