estabilidade,tempo,roll_max,roll_min,roll_oscilation,pitch_max,pitch_min,pitch_oscilation
False,44.86516332626343,3.6260737190846415,-2.6273109656327915,6.253384684717433,2.8506129565249196,-2.7849015363546727,5.635514492879592
False,43.73182153701782,3.477812863136785,-4.443611726017569,7.921424589154354,2.4281587696187223,-4.02995544416627,6.458114213784992
False,43.81976127624512,6.174568676993259,-4.8800617748064665,11.054630451799724,5.4690058518319935,-4.35905090766925,9.828056759501244
False,43.3504798412323,4.657300121992622,-4.163298104328776,8.820598226321398,4.489015089400581,-3.484709269677451,7.973724359078032
False,45.796669006347656,3.225035817052325,-3.6165429964380897,6.841578813490416,3.301128635545522,-2.6189593881020667,5.920088023647589
False,45.720446825027466,3.3820698197455763,-2.7292194875262767,6.1112893072718535,2.6711018330455407,-2.4947944791000616,5.165896312145603
False,46.34485650062561,3.6625165557374637,-4.342826347009691,8.005342902747156,4.524213531364407,-3.9161114207391776,8.440324952103586
False,45.14932179450989,4.831142208534698,-6.846753766228333,11.67789597476303,6.163486626112343,-6.838446393490128,13.00193301960247
False,44.59982252120972,5.2470760513937735,-7.772998248347934,13.020074299741708,5.468583454760716,-6.2230692237615495,11.691652678522265
False,46.483996629714966,4.125407595222336,-4.278999969050701,8.404407564273036,4.786749104480361,-4.227069844154968,9.013818948635329
False,44.736756324768066,4.338351427197505,-4.277235685181747,8.615587112379252,4.208145011278902,-3.810106904429517,8.018251915708419
False,46.18924427032471,3.8423164313719114,-4.345291145070137,8.187607576442048,4.715108394781826,-3.684268574249878,8.399376969031703
